uuid,geometry
highway_11091070048,Point (127.0506717 37.4521683)
highway_734789380,Point (127.0422078 37.461241)
highway_10605860005,Point (127.0395569 37.4639833)
highway_734789381,Point (127.0403861 37.4631328)
highway_3800720967,Point (127.0484007 37.4589059)
highway_734789840,Point (127.0406831 37.4637712)
highway_10828950513,Point (127.0402748 37.4639049)
highway_3800720948,Point (127.0450077 37.458474)
highway_3800720953,Point (127.0467175 37.4567621)
highway_11091070047,Point (127.0397323 37.4637926)
highway_11730722047,Point (127.0418117 37.4645729)
