coord,name,lon,geometry,uuid,lat
POINT(127.025952 37.4889667),무지개종합상가,127.025952,POINT(127.025952 37.4889667),departmentstore_0,37.4889667
POINT(127.0063666 37.5052027),터미널상가,127.0063666,POINT(127.0063666 37.5052027),departmentstore_1,37.5052027
POINT(127.0069895 37.5102628),(주)이랜드킴스클럽 강남점,127.0069895,POINT(127.0069895 37.5102628),departmentstore_2,37.5102628
POINT(127.0369441 37.4624667),(주)이마트 양재점,127.0369441,POINT(127.0369441 37.4624667),departmentstore_3,37.4624667
POINT(127.0032242 37.5042121),신세계백화점 강남점,127.0032242,POINT(127.0032242 37.5042121),departmentstore_4,37.5042121
POINT(126.9872199 37.5017332),엘루체,126.9872199,POINT(126.9872199 37.5017332),departmentstore_5,37.5017332
POINT(127.0259319 37.4922553),무지개쇼핑,127.0259319,POINT(127.0259319 37.4922553),departmentstore_6,37.4922553
POINT(126.9778779 37.5664106),롯데슈퍼 방배2점,126.9778779,POINT(126.9778779 37.5664106),departmentstore_8,37.5664106
POINT(127.0079985 37.5083791),뉴코아백화점,127.0079985,POINT(127.0079985 37.5083791),departmentstore_9,37.5083791
POINT(127.0074331 37.5092213),뉴코아아울렛,127.0074331,POINT(127.0074331 37.5092213),departmentstore_10,37.5092213
POINT(126.9856803 37.4968273),롯데쇼핑(주)롯데슈퍼 방배점,126.9856803,POINT(126.9856803 37.4968273),departmentstore_11,37.4968273
POINT(127.0178205 37.4847365),국제전자도매센타,127.0178205,POINT(127.0178205 37.4847365),departmentstore_13,37.4847365
POINT(126.9869203 37.5021451),반포프라자,126.9869203,POINT(126.9869203 37.5021451),departmentstore_14,37.5021451
POINT(127.0249371 37.4904901),신동아종합상가,127.0249371,POINT(127.0249371 37.4904901),departmentstore_15,37.4904901
POINT(127.0122802 37.5147673),대림상가,127.0122802,POINT(127.0122802 37.5147673),departmentstore_17,37.5147673
POINT(127.0174633 37.4999252),서초쇼핑,127.0174633,POINT(127.0174633 37.4999252),departmentstore_18,37.4999252
POINT(127.0134158 37.5015404),한양스토아,127.0134158,POINT(127.0134158 37.5015404),departmentstore_19,37.5015404
POINT(126.9838575 37.4819534),방배종합시장,126.9838575,POINT(126.9838575 37.4819534),departmentstore_20,37.4819534
POINT(126.9892846 37.4911996),이수시장,126.9892846,POINT(126.9892846 37.4911996),departmentstore_21,37.4911996
POINT(126.9947134 37.5054735),신반포종합시장,126.9947134,POINT(126.9947134 37.5054735),departmentstore_22,37.5054735
POINT(127.0141834 37.5154139),신사쇼핑,127.0141834,POINT(127.0141834 37.5154139),departmentstore_23,37.5154139
POINT(127.015434 37.4934028),대림서초리시온,127.015434,POINT(127.015434 37.4934028),departmentstore_24,37.4934028
POINT(127.0131783 37.4981054),아크로비스타 아케이드,127.0131783,POINT(127.0131783 37.4981054),departmentstore_25,37.4981054
POINT(127.0369441 37.4624667),하이브랜드,127.0369441,POINT(127.0369441 37.4624667),departmentstore_26,37.4624667
POINT(127.0241309 37.5037829),교보타워 지하아케이드,127.0241309,POINT(127.0241309 37.5037829),departmentstore_27,37.5037829
POINT(127.036182 37.4619559),코스트코코리아,127.036182,POINT(127.036182 37.4619559),departmentstore_28,37.4619559
POINT(126.9869203 37.5021451),반포프라자,126.9869203,POINT(126.9869203 37.5021451),departmentstore_29,37.5021451
POINT(123.7417741 32.5220203),롯데쇼핑(주) 롯데마트 서초점,123.7417741,POINT(123.7417741 32.5220203),departmentstore_31,32.5220203
