coord,name,geometry,uuid,url
POINT(127.0311724 37.47435143),양재천사유치원,POINT (127.0311724 37.47435143),kinder_0,nan
POINT(127.0183925 37.49200276),석문유치원,POINT (127.0183925 37.49200276),kinder_1,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
POINT(127.0162145 37.4560926),서초유치원,POINT (127.0162145 37.4560926),kinder_2,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
POINT(127.0102659 37.51519733),하나유치원,POINT (127.0102659 37.51519733),kinder_3,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
POINT(127.0125033 37.51044743),신반포중앙유치원,POINT (127.0125033 37.51044743),kinder_4,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
POINT(127.0004801 37.47919216),육영유치원,POINT (127.0004801 37.47919216),kinder_5,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000840
POINT(127.0007427 37.4788147),영유유치원,POINT (127.0007427 37.4788147),kinder_6,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000836
POINT(126.9961044 37.48066984),새성민유치원,POINT (126.9961044 37.48066984),kinder_7,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000812
POINT(126.9956694 37.50500467),영생유치원,POINT (126.9956694 37.50500467),kinder_8,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005347
POINT(126.9910093 37.50314591),반포초등학교병설유치원,POINT (126.9910093 37.50314591),kinder_9,nan
POINT(126.9884834 37.48864117),새순유치원,POINT (126.9884834 37.48864117),kinder_10,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
