uuid,name,lon,lat
departmentstore_0,무지개종합상가,127.025952,37.4889667
departmentstore_1,터미널상가,127.0063666,37.5052027
departmentstore_2,(주)이랜드킴스클럽 강남점,127.0069895,37.5102628
departmentstore_3,(주)이마트 양재점,127.0369441,37.4624667
departmentstore_4,신세계백화점 강남점,127.0032242,37.5042121
departmentstore_5,엘루체,126.9872199,37.5017332
departmentstore_6,무지개쇼핑,127.0259319,37.4922553
departmentstore_8,롯데슈퍼 방배2점,126.9778779,37.5664106
departmentstore_9,뉴코아백화점,127.0079985,37.5083791
departmentstore_10,뉴코아아울렛,127.0074331,37.5092213
departmentstore_11,롯데쇼핑(주)롯데슈퍼 방배점,126.9856803,37.4968273
departmentstore_13,국제전자도매센타,127.0178205,37.4847365
departmentstore_14,반포프라자,126.9869203,37.5021451
departmentstore_15,신동아종합상가,127.0249371,37.4904901
departmentstore_17,대림상가,127.0122802,37.5147673
departmentstore_18,서초쇼핑,127.0174633,37.4999252
departmentstore_19,한양스토아,127.0134158,37.5015404
departmentstore_20,방배종합시장,126.9838575,37.4819534
departmentstore_21,이수시장,126.9892846,37.4911996
departmentstore_22,신반포종합시장,126.9947134,37.5054735
departmentstore_23,신사쇼핑,127.0141834,37.5154139
departmentstore_24,대림서초리시온,127.015434,37.4934028
departmentstore_25,아크로비스타 아케이드,127.0131783,37.4981054
departmentstore_26,하이브랜드,127.0369441,37.4624667
departmentstore_27,교보타워 지하아케이드,127.0241309,37.5037829
departmentstore_28,코스트코코리아,127.036182,37.4619559
departmentstore_29,반포프라자,126.9869203,37.5021451
departmentstore_31,롯데쇼핑(주) 롯데마트 서초점,123.7417741,32.5220203
