uuid,uuid_districtboundarydong,uuid_kinder
0,districtboundarydong_11650101,kinder_5
1,districtboundarydong_11650101,kinder_6
2,districtboundarydong_11650101,kinder_7
3,districtboundarydong_11650101,kinder_10
4,districtboundarydong_11650102,kinder_0
5,districtboundarydong_11650103,kinder_2
7,districtboundarydong_11650106,kinder_3
8,districtboundarydong_11650106,kinder_4
9,districtboundarydong_11650107,kinder_8
10,districtboundarydong_11650107,kinder_9
11,districtboundarydong_11650108,kinder_1
