name,lon,lat,line_name,uuid
강남역,127.027926,37.497175,"2호선, 신분당선",subway_0
고속터미널역,127.004943,37.50481,"3호선, 7호선, 9호선",subway_1
교대역,127.01408,37.493415,"2호선, 3호선",subway_2
구반포역,126.987332,37.501364,9호선,subway_3
남부터미널역,127.016189,37.485013,3호선,subway_4
남태령역,126.989134,37.463873,4호선,subway_5
내방역,126.993513,37.487618,7호선,subway_6
반포역,127.011727,37.508178,7호선,subway_7
방배역,126.997596,37.481426,2호선,subway_8
사당역,126.981685,37.47653,"2호선, 4호선",subway_9
사평역,127.015259,37.504206,9호선,subway_10
서초역,127.007917,37.491897,2호선,subway_11
신반포역,126.995925,37.503415,9호선,subway_12
양재역,127.034631,37.484147,"3호선, 신분당선",subway_13
양재시민의숲역,127.03842,37.470023,신분당선,subway_14
잠원역,127.01122,37.512759,3호선,subway_15
청계산입구역,127.055664,37.447211,신분당선,subway_16
